뉴스 제목
`더 플랫폼` 1위…외화가 휩쓴 극장가[MK박스오피스]
‘더 플랫폼’ 박스오피스 1위···관객 가뭄 이어지는 충무로
"'더 플랫폼' 박스오피스 1위 기록, 日 관객 3567명 동원"
박스오피스는 외화 천화...'더 플랫폼' 1위로 역주행
"'저 산 너머', 역주행 성공...박스오피스 1위 [오늘의 1위②]"
"'더 플랫폼' 박스오피스 정상, '저 산 너머' 순위 하락 [무비투데이]"
"김수환 추기경 실화 그린 '저 산 너머', 박스오피스·좌석판매율 1위"
[박스오피스]SF·스릴러 '더 플랫폼' 1위...일일 관객수 2만명대
"스페인 스릴러 통했다…'더 플랫폼', 박스오피스 1위"
"티모시 샬라메 '레이니 데이 인 뉴욕', 일주일째 박스오피스 1위"
신박하다는 ‘더 플랫폼’ 깜짝 박스오피스 1위+좌석판매율 1위
"'더 플랫폼', 박스오피스 1위...극장 하루 관객 4일째 2만명대"
"티모시 샬라메 주연 '레이니 데이 인 뉴욕', 6일 연속 박스오피스 1위"
코로나19 틈타 논란 분분한 영화가 박스오피스 1위 질주하고 있다
"'레이니 데이 인 뉴욕' 주말 박스오피스 1위, 누적 관객수 4만명 돌파"
"'레이니 데이 인 뉴욕', 이틀 연속 박스오피스 정상"
[박스오피스IS] 이태원발 코로나19로 얼어붙은 극장가..총 관객 2만명대
최종태 감독 `저 산 너머' 박스오피스 역주행 인기
[박스오피스IS] 생활방역 전환 후 첫 주말..관객수 15만명 '한산한 극장'
‘레이니 데이 인 뉴욕’ 박스오피스 이틀째 1위
“1→3위까지 모두 외화” 스릴러 ‘더 플랫폼’ 새 1위[박스오피스]
6일째 박스오피스 1위 수성한 '트롤: 월드투어'
"'레이니 데이 인 뉴욕' 박스오피스 1위, 日 관객 6321명 동원"
아·태지역 영화시장 1분기 박스오피스 88% 급감
어린이날 11만명 극장 찾아…'트롤: 월드 투어' 박스오피스 1위
[박스오피스] 극장가 기지개 켜나…연휴 나흘 관객 32만명
"티모시 샬라메 주연 '레이니 데이 인 뉴욕', 사흘 연속 박스오피스 1위"
[박스오피스IS] '황금연휴 끝' 일일관객수 3만대 다시 추락
"'트롤: 월드 투어', 개봉 첫날 박스오피스 1위"
"[박스오피스]'트롤: 월드투어' 1위, '나의 청춘은 너의 것' 2위"
韓영화 '저 산 너머'박스오피스 역주행...'장기상영'유력
‘레이니 데이 인 뉴욕’ 4일째 박스오피스 1위
아태 1분기 영화 박스오피스 10분의 1 토막…한국 65%↓
[영화랭킹] 박스오피스 순위 대 변동… ‘더 플랫폼’ 1위 등극
"[박스오피스IS] '트롤:월드 투어', 4일째 1위..오늘 5만 돌파"
"‘양녀 성추행 의혹’ 우디 앨런 감독 신작, 박스오피스 1위"
[박스오피스] 개봉작 기근에 관객도 정체
[주말 박스오피스] 또다시 적막…티모시 샬라메의 원맨쇼
"'저 산 너머', 박스오피스 1위…유료 시사로 거둔 성적"
"주말 관객 9만 명대...'1917', 박스오피스 1위 탈환"
[박스오피스]'트롤: 월드 투어' 1위...일일 관객수 10만대 회복
"'트롤: 월드 투어', 이틀 연속 박스오피스 1위 [무비투데이]"
"'저 산 너머' 박스오피스 1위 기록, 日 관객 4919명 동원"
[MP박스오피스] '톰보이' 전체 예매율 1위…15편 동시기 개봉작 제치고 흥행 ...
황금연휴 극장 관객 49만명…K팝 껴안은 '트롤 2' 박스오피스 1위
코로나19에 중국 극장 고사 위기…박스오피스 5조원 손실
[박스오피스] 개봉작도 기근…재개봉작 '라라랜드' 1위
`라라랜드` 9일째 1위…‘1917’ 장기 흥행 中[MK박스오피스]
`1917` 역주행 다시 1위…일일 관객수 4만명대↑[MK박스오피스]
"""추억의 힘""…재개봉 '라라랜드', 박스오피스 1위"
"'라라랜드', 5일째 박스오피스 정상...하루 총 관객 수 2만 명대"
"박스오피스 1위 '레이니 데이 인 뉴욕', 일러스트 포스터 공개"
"'재개봉' 라라랜드, 8일 연속 박스오피스 1위 기염"
“잊지 않겠습니다” 세월호 다큐 ‘유령선’ 2만명 돌파[박스오피스]
"'저 산 너머', 韓영화 박스오피스 1위·좌석판매율 1위"
"[박스오피스IS] '트롤: 월드 투어', 이틀째 1위..'저 산 너머' 3위 진입"
"'라라랜드' 박스오피스 1위 수성, '어벤져스' 시리즈 재개봉"
"‘트롤’, 6일째 박스오피스 정상…‘패왕별희 디 오리지널’ 2위 [오늘의 1위..."
"코로나19 극장가, 미개봉작이 박스오피스 정상에…"
"'서치 아웃', 개봉과 함께 박스오피스 1위"
"세월호 영화 '유령선', 독립·예술영화 박스오피스 1위"
신작 없는 극장가…‘재개봉작’ 박스 오피스 상위권 차지
극장가 황금연휴에도 일일 관객수 7만명대[박스오피스]
재개봉 영화 ‘라라랜드’ 박스오피스 1위 재탈환
[박스오피스]재개봉 '라라랜드'·'어벤져스' 나란히 1·2위
'트롤 : 월드 투어' 박스오피스 1위… '나의 청춘은 너의 것' '저 산 너머' 상...
"재개봉 '라라랜드', 주말박스오피스 1위 [★무비차트]"
"다니엘 래드클리프 '건즈 아킴보', 박스오피스 1위"
애니메이션 '트롤: 월드 투어' 개봉 첫 주 박스오피스 1위
"‘성추문’ 우디 앨런 신작, 박스오피스·예매율 1위→굿즈 상영회 매진까지"
‘트롤’ 1위했지만..황금연휴 무색한 관객수[박스오피스]
'트롤' 박스오피스 1위…일일 관객 '껑충'
답없는 박스오피스…입장권 매출 작년의 반토막
[투데이 연예톡톡] '저 산 너머' 개봉 전부터 박스오피스 1위
"재개봉 '라라랜드' 코로나19 사태 속 박스오피스 1위, 하루 관객 1만명대"
"'서치아웃' 박스오피스 1위, 韓 영화 50일 만에 정상"
이세영 주연 공포물 ‘호텔 레이크’ 주말 한국영화 1위[박스오피스]
바닥 친 박스오피스? 관객 소폭 증가하며 반등 모색
"故김수환 추기경 ‘저 산 너머’, 개봉 전 시사회로 이틀째 박스오피스 정상"
신작 개봉에도..긴장감 없는 박스오피스 [주말흥행기상도]
[투데이 연예톡톡] '서치 아웃' 박스오피스 1위 출발
"'1917', 역주행→5일째 박스오피스 정상 [오늘의 1위①]"
"日, 박스오피스 집계 중단 ""코로나 비상사태-극장 휴관 여파"""
"주말 ""박스오피스 1917 역주행...예매순위 1위"""
[박스오피스IS] 총선날 4만5000명 극장行…4월 중 최고치(종합)
고작 2700명 봤는데 '박스오피스 정상'…코로나19 극장가
세월호 다큐 ‘유령선’ 의미있는 1만 돌파 눈앞에[박스오피스]
어벤져스까지 재등장…효과는 글쎄[주말박스오피스]
코로나19로 덮친 中 영화계...박스오피스도 '스톱'[NC이슈]
지난해 중국 박스오피스 Top10 중 8편이 ‘중국산’
"故 김수환 추기경 어린시절 그린 '저 산 너머' 개봉 D-2, 28일 박스오피스 1위"
"‘트롤: 월드 투어’, 3일 연속 박스오피스 1위..2위 ‘나의 청춘은 너의 것’"
봄=로코 흥행불패? ‘나의 청춘은 너의 것’ 개봉 첫날 극영화 박스오피스 1위
박스오피스 역주행 샘 멘데스 감독의 '1917' 예매 순위 1위
이순신 3부작 '한산' 촬영 돌입…'명량' 기록 넘을까
"박해일·변요한·안성기·손현주, '한산:용의 출현'에 뭉쳤다"
"‘1917’, 4일 연속 박스오피스 1위 차지..코로나19 여파 영화관 ‘침체’"
'1917' 4일째 박스오피스 1위…일일 극장 관객 1만명대 '충격 계속'
"‘1917’, 3일 연속 박스오피스 1위 차지..주말 관객수 7만명대로 하락"
"韓영화 없는 극장, 2월 개봉작 '1917' 역주행→박스오피스 1위"
'트롤: 월드 투어' 개봉 첫날 박스오피스 1위[★무비차트]
"[박스오피스IS] 드림웍스 '트롤:월드투어', 어린이날 박스오피스 1위..10만 돌..."
'트롤: 월드투어' 박스오피스 1위…황금연휴 사랑 독차지
"[박스오피스IS] 논란의 우디 앨런 신작, '트롤:월드투어' 제치고 개봉 첫날 1..."
티모시 샬라메 주연 ‘레이니 데이 인 뉴욕’ 박스오피스 1위 유지
土 ‘레이니 데이 인 뉴욕’ 1만7천명↑ 동원하며 1위[박스오피스]
'트롤: 월드투어' 박스오피스 1위 유지...일 관객수 4만명대 하락
[박스오피스] 개봉작 기근에 관객도 정체
"[영화랭킹] ‘레이니 데이 인 뉴욕’, 일주일째 박스오피스 1위… 회복기 없는..."
"티모시 샬라메 주연 '레이니 데이 인 뉴욕', 박스오피스 정상 [오늘의 1위①]"
[박스오피스] 개봉작 기근에 관객도 정체
"[공식] '트롤 : 월드투어', 6일째 박스오피스 1위 유지..황금연휴 강세"
"[영화랭킹] ‘레이니 데이 인 뉴욕’, 일주일째 박스오피스 1위… 회복기 없는..."
"티모시 샬라메 주연 '레이니 데이 인 뉴욕', 박스오피스 정상 [오늘의 1위①]"
어린이날 ‘트롤:월드투어’ 박스오피스 1위
[주말 박스오피스] 또다시 적막…티모시 샬라메의 원맨쇼
"'저 산 너머', 박스오피스 1위…유료 시사로 거둔 성적"
"'트롤: 월드투어', 5일 연속 박스오피스 1위...주말 관객 14만 돌파"
아태 1분기 영화 박스오피스 10분의 1 토막…한국 65%↓(종합)
"주말 관객 9만 명대...'1917', 박스오피스 1위 탈환"
"주말 관객 9만 명대...'1917', 박스오피스 1위 탈환"
'트롤: 월드투어' 황금연휴 박스오피스 1위
[박스오피스]'트롤: 월드 투어' 1위...일일 관객수 10만대 회복
"'트롤: 월드 투어', 이틀 연속 박스오피스 1위 [무비투데이]"
"'저 산 너머' 박스오피스 1위 기록, 日 관객 4919명 동원"
티모시 샬라메 효과 ‘레이니 데이 인 뉴욕’ 3일째 1위[박스오피스]
[MP박스오피스] '톰보이' 전체 예매율 1위…15편 동시기 개봉작 제치고 흥행 ...
황금연휴 극장 관객 49만명…K팝 껴안은 '트롤 2' 박스오피스 1위
'레이니 데이 인 뉴욕' 이틀째 박스오피스 1위...일 관객수 3만명대
아태 1분기 영화 박스오피스 10분의 1 토막...한국 65%↓
"'라라랜드' 주말 박스오피스 1위, '1917' 2위 기록"
'레이니 데이 인 뉴욕' 이틀째 박스오피스 1위...일 관객수 3만명대
아태 1분기 영화 박스오피스 10분의 1 토막...한국 65%↓
'저 산 너머' 개봉 전 시사회로 박스오피스 1위…코로나19 쇼크 속 진풍경
"'레이니 데이 인 뉴욕', 3일째 박스오피스 1위...하루 관객 2만명대 추락"
코로나19에 중국 극장 고사 위기…박스오피스 5조원 손실
"극장·VOD 동시 개봉...'트롤: 월드 투어', 박스오피스 1위로 출발"
[박스오피스] 개봉작도 기근…재개봉작 '라라랜드' 1위
"‘트롤: 월드 투어’, 6일째 박스오피스 1위"
드림웍스 애니메이션 ‘트롤:월드투어’ 주말 박스오피스 1위
[박스오피스] 개봉작도 기근…재개봉작 '라라랜드' 1위
"‘트롤: 월드 투어’, 6일째 박스오피스 1위"
드림웍스 애니메이션 ‘트롤:월드투어’ 주말 박스오피스 1위
영화관 연휴 나흘 동안 관객 32만명 몰려···박스오피스 1위 ‘트롤: 월드 ...
"'저 산 너무', 개봉 전부터 박스오피스 1위…극장가 속 소박한 힐링 [무비투데..."
'트롤: 월드 투어' 개봉 첫 주말 박스오피스 1위..극장 총 관객 7만[★무비차...
`라라랜드` 9일째 1위…‘1917’ 장기 흥행 中[MK박스오피스]
'라라랜드' 주말 박스오피스 1위…코로나19 관객 기근 속 재개봉작 '강세'
中 극장가 살리기 총력... 박스오피스 5조원 손실 예상
"[영화랭킹] ‘레이니 데이 인 뉴욕’, 주말 박스오피스도 정상… 극장 관객 1..."
中 극장가 살리기 총력... 박스오피스 5조원 손실 예상
"[영화랭킹] ‘레이니 데이 인 뉴욕’, 주말 박스오피스도 정상… 극장 관객 1..."
`저 산 너머` 개봉 전 이틀 연속 1위[MK박스오피스]
뮤지컬 애니 ‘트롤: 월드투어’ 개봉 첫 주말 박스오피스 1위 등극
"'트롤: 월드투어', 어린이날 박스오피스 1위...10만 돌파 눈앞"
`1917` 역주행 다시 1위…일일 관객수 4만명대↑[MK박스오피스]
